battery_id,policy,life_150,peer_life_200,selected_weight,pooled_life,life_200,individual_relative_error,pooled_relative_error
28,5_6C_36PER_4_3C_NEWSTRUCTURE,5647.720465861395,1555.8415971595227,0.75,4091.628919524308,3856.4538734843713,0.4644854187659669,0.06098220120222831
29,5C_67PER_4C_NEWSTRUCTURE,1503.7812975133613,1520.4620000742716,0.75,1507.9342379119616,1509.2271596861826,0.0036083780614931944,0.0008566780460602274
30,3_7C_31PER_5_9C_NEWSTRUCTURE,1307.123818793496,788.1788371167802,0.75,1151.8441974947625,1334.554333618404,0.020554063730425315,0.1369072292682575
31,5C_67PER_4C_NEWSTRUCTURE,1122.0537755457078,1520.4620000742716,0.75,1210.6096911728077,1200.1379918224288,0.06506269846365656,0.008725412762308664
32,5_3C_54PER_4C_NEWSTRUCTURE,1133.31720899159,2006.0022709391662,0.75,1307.2133294541247,1425.4739486837154,0.2049541066407446,0.08296231533294082
33,5_6C_19PER_4_6C_NEWSTRUCTURE,1276.0594884758334,1622.6385966036094,0.75,1355.0603614969343,1396.023831817206,0.08593287636444918,0.029342959186412637
34,5_6C_36PER_4_3C_NEWSTRUCTURE,1095.5568150489448,1876.1589512589053,0.75,1253.2669471610368,1337.5806326715976,0.18094147874977076,0.06303446943767278
35,3_7C_31PER_5_9C_NEWSTRUCTURE,636.240989342819,1334.5543336184037,0.75,765.6852809031712,788.1788371167802,0.19277077817740157,0.028538645234236593
36,5_3C_54PER_4C_NEWSTRUCTURE,1420.1963351781887,2006.0022709391662,0.75,1548.260898582321,1374.4657999766437,0.03327149733541728,0.1264455606015302
37,5C_67PER_4C_NEWSTRUCTURE,1578.5050469221394,1509.2271596861829,0.75,1560.8930040621944,1976.8623002979193,0.20150986404857144,0.21041895339550812
38,5_3C_54PER_4C_NEWSTRUCTURE,1660.5412194865985,1717.16316464745,0.75,1674.519218557763,2158.146890927874,0.23057080754467785,0.22409395505149338
39,5_6C_19PER_4_6C_NEWSTRUCTURE,2319.191303725735,1406.2969962094303,0.75,2046.546857676858,1976.1297137170336,0.17360276890094126,0.035633867286663165
40,5_6C_36PER_4_3C_NEWSTRUCTURE,1752.2082533180896,1671.8188047285676,0.75,1731.755568116867,1746.0062842909067,0.003552088605283401,0.008161892830659155
41,4_8C_80PER_4_8C_NEWSTRUCTURE,1294.8666388862823,1649.5789880295927,0.75,1375.6630118881221,1689.3410707292887,0.2335078680545615,0.1856807155619272
42,5C_67PER_4C_NEWSTRUCTURE,1938.1863419397039,1509.2271596861829,0.75,1820.68703505556,2193.6052872562664,0.1164379694015222,0.1700024404423039
43,5_3C_54PER_4C_NEWSTRUCTURE,1525.6569288719072,1717.16316464745,0.75,1571.431864496358,2081.9612532833025,0.26720205456950274,0.24521560522888095
44,5_6C_19PER_4_6C_NEWSTRUCTURE,1358.3941781333353,1622.6385966036094,0.75,1420.1192329442872,1378.5612883369674,0.01462909946351443,0.030145881042005284
45,5_6C_36PER_4_3C_NEWSTRUCTURE,1301.9152380859166,1876.1589512589053,0.75,1426.443058885928,1386.388524045303,0.0609304567185137,0.028891276973175558
46,4_8C_80PER_4_8C_NEWSTRUCTURE,1513.5608418001912,1688.0337803870232,0.75,1555.4111068274328,1613.2486338355777,0.06179319786459323,0.03585158902049297
47,5C_67PER_4C_NEWSTRUCTURE,1320.7014356750203,1520.4620000742716,0.75,1368.035540301661,1369.137615684812,0.03537714503999298,0.0008049412787477893
48,5_3C_54PER_4C_NEWSTRUCTURE,1829.9041179280866,1772.7615894253574,0.75,1815.4480846815682,1943.0888103642017,0.058249881236720376,0.06568959946751443
49,4_8C_80PER_4_8C_NEWSTRUCTURE,1891.2044307761378,1650.8564972269262,0.75,1828.0210328737653,1686.727501686556,0.12122700844393988,0.08376784693789016
