battery_id,policy,SOH_recent_slope,future_slope,delta_slope,model,complexity_order,predicted_delta_slope,predicted_future_slope,future_slope_error,observed_accelerating,predicted_accelerating
32,5_3C_54PER_4C_NEWSTRUCTURE,-3.0171490921104827e-05,-3.0597219838822566e-05,-4.257289177177399e-07,Direct_zero_delta,0,0.0,-3.0171490921104827e-05,4.257289177177399e-07,True,False
33,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.981422548742641e-05,-3.8825232226118233e-05,-9.011006738691825e-06,Direct_zero_delta,0,0.0,-2.981422548742641e-05,9.011006738691825e-06,True,False
34,5_6C_36PER_4_3C_NEWSTRUCTURE,-4.10993238709069e-05,-4.355830274667583e-05,-2.458978875768931e-06,Direct_zero_delta,0,0.0,-4.10993238709069e-05,2.458978875768931e-06,True,False
35,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00022419552943761685,-0.00021573465063662312,8.460878800993737e-06,Direct_zero_delta,0,0.0,-0.00022419552943761685,-8.460878800993737e-06,False,False
36,5_3C_54PER_4C_NEWSTRUCTURE,-2.8586294851899268e-05,-3.7504827835738164e-05,-8.918532983838896e-06,Direct_zero_delta,0,0.0,-2.8586294851899268e-05,8.918532983838896e-06,True,False
37,5C_67PER_4C_NEWSTRUCTURE,-3.0664507834336774e-05,-3.408698839070397e-05,-3.4224805563671964e-06,Direct_zero_delta,0,0.0,-3.0664507834336774e-05,3.4224805563671964e-06,True,False
38,5_3C_54PER_4C_NEWSTRUCTURE,-3.667602361963803e-05,-3.9072743988880866e-05,-2.396720369242836e-06,Direct_zero_delta,0,0.0,-3.667602361963803e-05,2.396720369242836e-06,True,False
39,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.1176454494057685e-05,-3.756211331021886e-05,-6.385658816161172e-06,Direct_zero_delta,0,0.0,-3.1176454494057685e-05,6.385658816161172e-06,True,False
40,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.833731553998993e-05,-4.761124698046617e-05,-9.27393144047624e-06,Direct_zero_delta,0,0.0,-3.833731553998993e-05,9.27393144047624e-06,True,False
41,4_8C_80PER_4_8C_NEWSTRUCTURE,-3.321846118159444e-05,-3.69823276612132e-05,-3.763866479618759e-06,Direct_zero_delta,0,0.0,-3.321846118159444e-05,3.763866479618759e-06,True,False
42,5C_67PER_4C_NEWSTRUCTURE,-2.129201729795827e-05,-2.6587957648094296e-05,-5.295940350136025e-06,Direct_zero_delta,0,0.0,-2.129201729795827e-05,5.295940350136025e-06,True,False
43,5_3C_54PER_4C_NEWSTRUCTURE,-3.1402713410865114e-05,-3.282667722746361e-05,-1.4239638165984951e-06,Direct_zero_delta,0,0.0,-3.1402713410865114e-05,1.4239638165984951e-06,True,False
44,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.6032789269934575e-05,-4.7477627147909566e-05,-1.144483787797499e-05,Direct_zero_delta,0,0.0,-3.6032789269934575e-05,1.144483787797499e-05,True,False
45,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.1427318452904048e-05,-3.133947097586187e-05,-9.912152522957825e-06,Direct_zero_delta,0,0.0,-2.1427318452904048e-05,9.912152522957825e-06,True,False
46,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.4536164858616792e-05,-2.426200668229713e-05,2.7415817631966236e-07,Direct_zero_delta,0,0.0,-2.4536164858616792e-05,-2.7415817631966236e-07,False,False
47,5C_67PER_4C_NEWSTRUCTURE,-1.9483602110306752e-05,-3.325483132507388e-05,-1.3771229214767129e-05,Direct_zero_delta,0,0.0,-1.9483602110306752e-05,1.3771229214767129e-05,True,False
48,5_3C_54PER_4C_NEWSTRUCTURE,-1.8396260100133e-05,-2.357035528276616e-05,-5.174095182633163e-06,Direct_zero_delta,0,0.0,-1.8396260100133e-05,5.174095182633163e-06,True,False
49,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.7023833100160424e-05,-2.9484317939056292e-05,-1.2460484838895868e-05,Direct_zero_delta,0,0.0,-1.7023833100160424e-05,1.2460484838895868e-05,True,False
1,3_6C-80PER_3_6C,-4.0606156694729854e-05,-7.82943969526162e-05,-3.768824025788634e-05,Global_mean_delta,1,-8.63384241782809e-06,-4.9239999112557946e-05,2.905439784005825e-05,True,True
3,3_6C-80PER_3_6C,-2.1001713251127774e-05,-1.9112765094399608e-05,1.8889481567281659e-06,Global_mean_delta,1,-9.648642120766925e-06,-3.06503553718947e-05,-1.153759027749509e-05,False,True
4,80PER_3_6C,-0.00018836993360228294,-0.0002073875980764402,-1.9017664474157254e-05,Global_mean_delta,1,-9.1125751302314e-06,-0.00019748250873251433,9.90508934392586e-06,True,True
6,80PER_3_6C,-3.280403665257621e-05,-4.881794610831753e-05,-1.6013909455741318e-05,Global_mean_delta,1,-9.189594489677964e-06,-4.199363114225417e-05,6.824314966063357e-06,True,True
7,4_8C_80PER_4_8C,-6.221785154494341e-05,-0.00010145647905697719,-3.923862751203378e-05,Global_mean_delta,1,-8.594088898490976e-06,-7.081194044343439e-05,3.0644538613542805e-05,True,True
8,4_8C_80PER_4_8C,-0.00012522388687608021,-0.00016229021435307245,-3.7066327476992234e-05,Global_mean_delta,1,-8.649788899389477e-06,-0.0001338736757754697,2.8416538577602757e-05,True,True
12,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.861206412198938e-05,-4.861610004938214e-05,-2.000403592739276e-05,Global_mean_delta,1,-9.087283554507412e-06,-3.769934767649679e-05,1.091675237288535e-05,True,True
13,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.7753226406200394e-05,-4.1651519849028595e-05,-1.3898293442828201e-05,Global_mean_delta,1,-9.243841054111631e-06,-3.699706746031203e-05,4.6544523887165684e-06,True,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.9886602846629316e-05,-5.618750127082835e-05,-1.6300898424199033e-05,Global_mean_delta,1,-9.182235798179047e-06,-4.906883864480836e-05,7.118662626019987e-06,True,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.4516731424334236e-05,-1.702810307235847e-05,-2.5113716480242335e-06,Global_mean_delta,1,-9.535813407824555e-06,-2.4052544832158792e-05,-7.024441759800323e-06,True,True
18,5C_67PER_4C_NEWSTRUCTURE,-3.287205360188248e-05,-3.482360819932288e-05,-1.9515545974403958e-06,Global_mean_delta,1,-9.550167691172858e-06,-4.242222129305534e-05,-7.598613093732464e-06,True,True
19,5_3C_54PER_4C_NEWSTRUCTURE,-1.7900953486493788e-05,-2.115135689224295e-05,-3.2504034057491615e-06,Global_mean_delta,1,-9.516863875575197e-06,-2.7417817362068984e-05,-6.266460469826034e-06,True,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.0864817735222196e-05,-3.073740461197135e-05,-9.872586876749153e-06,Global_mean_delta,1,-9.34706429939571e-06,-3.0211882034617907e-05,5.255225773534426e-07,True,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.3507061911515033e-05,-5.035231887320699e-05,-6.845256961691955e-06,Global_mean_delta,1,-9.424688143371536e-06,-5.2931750054886566e-05,-2.5794311816795777e-06,True,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.923933691910002e-05,-2.386457349048182e-05,-4.625236571381798e-06,Global_mean_delta,1,-9.481611743123078e-06,-2.87209486622231e-05,-4.856375171741281e-06,True,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.158579212754088e-05,-4.877220545190004e-05,-7.186413324359163e-06,Global_mean_delta,1,-9.415940544328786e-06,-5.100173267186966e-05,-2.2295272199696216e-06,True,True
26,5_3C_54PER_4C_NEWSTRUCTURE,-3.33461302546711e-05,-3.344272757060075e-05,-9.65973159296489e-08,Global_mean_delta,1,-9.597730698391083e-06,-4.294386095306218e-05,-9.50113338246143e-06,True,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.9282661477566e-05,-4.289220242283319e-05,-1.3609540945267192e-05,Global_mean_delta,1,-9.251244964305505e-06,-3.8533906441871505e-05,4.358295980961685e-06,True,True
28,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.351899371624538e-05,-4.1997178296785896e-05,-8.478184580540518e-06,Global_mean_delta,1,-9.382818204426701e-06,-4.290181192067208e-05,-9.046336238861848e-07,True,True
29,5C_67PER_4C_NEWSTRUCTURE,-2.904893174246245e-05,-3.770510259742059e-05,-8.656170854958138e-06,Global_mean_delta,1,-9.378254453800607e-06,-3.8427186196263055e-05,-7.22083598842466e-07,True,True
30,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.0001473357961005602,-0.000149758925799014,-2.4231296984538137e-06,Global_mean_delta,1,-9.538076021916104e-06,-0.0001568738721224763,-7.114946323462287e-06,True,True
31,5C_67PER_4C_NEWSTRUCTURE,-2.9766028864807225e-05,-4.0524055818407554e-05,-1.075802695360033e-05,Global_mean_delta,1,-9.324360707681578e-06,-3.9090389572488804e-05,1.4336662459187502e-06,True,True
32,5_3C_54PER_4C_NEWSTRUCTURE,-3.0171490921104827e-05,-3.0597219838822566e-05,-4.257289177177399e-07,Global_mean_delta,1,-9.589291426550361e-06,-3.976078234765519e-05,-9.163562508832625e-06,True,True
33,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.981422548742641e-05,-3.8825232226118233e-05,-9.011006738691825e-06,Global_mean_delta,1,-9.369156097807438e-06,-3.918338158523385e-05,-3.5814935911561663e-07,True,True
34,5_6C_36PER_4_3C_NEWSTRUCTURE,-4.10993238709069e-05,-4.355830274667583e-05,-2.458978875768931e-06,Global_mean_delta,1,-9.537156812241357e-06,-5.0636480683148254e-05,-7.078177936472423e-06,True,True
35,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00022419552943761685,-0.00021573465063662312,8.460878800993737e-06,Global_mean_delta,1,-9.81715316292758e-06,-0.00023401268260054444,-1.8278031963921327e-05,False,True
36,5_3C_54PER_4C_NEWSTRUCTURE,-2.8586294851899268e-05,-3.7504827835738164e-05,-8.918532983838896e-06,Global_mean_delta,1,-9.371527219726744e-06,-3.795782207162601e-05,-4.529942358878482e-07,True,True
37,5C_67PER_4C_NEWSTRUCTURE,-3.0664507834336774e-05,-3.408698839070397e-05,-3.4224805563671964e-06,Global_mean_delta,1,-9.512451640943965e-06,-4.017695947528074e-05,-6.089971084576767e-06,True,True
38,5_3C_54PER_4C_NEWSTRUCTURE,-3.667602361963803e-05,-3.9072743988880866e-05,-2.396720369242836e-06,Global_mean_delta,1,-9.538753184203565e-06,-4.6214776803841597e-05,-7.14203281496073e-06,True,True
39,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.1176454494057685e-05,-3.756211331021886e-05,-6.385658816161172e-06,Global_mean_delta,1,-9.436472711205658e-06,-4.061292720526334e-05,-3.050813895044486e-06,True,True
40,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.833731553998993e-05,-4.761124698046617e-05,-9.27393144047624e-06,Global_mean_delta,1,-9.362414438787323e-06,-4.769972997877725e-05,-8.848299831108178e-08,True,True
41,4_8C_80PER_4_8C_NEWSTRUCTURE,-3.321846118159444e-05,-3.69823276612132e-05,-3.763866479618759e-06,Global_mean_delta,1,-9.503698155732387e-06,-4.272215933732682e-05,-5.739831676113625e-06,True,True
42,5C_67PER_4C_NEWSTRUCTURE,-2.129201729795827e-05,-2.6587957648094296e-05,-5.295940350136025e-06,Global_mean_delta,1,-9.464414210334509e-06,-3.0756431508292776e-05,-4.168473860198481e-06,True,True
43,5_3C_54PER_4C_NEWSTRUCTURE,-3.1402713410865114e-05,-3.282667722746361e-05,-1.4239638165984951e-06,Global_mean_delta,1,-9.563695659912394e-06,-4.096640907077751e-05,-8.1397318433139e-06,True,True
44,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.6032789269934575e-05,-4.7477627147909566e-05,-1.144483787797499e-05,Global_mean_delta,1,-9.30675017115915e-06,-4.5339539441093724e-05,2.138087706815842e-06,True,True
45,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.1427318452904048e-05,-3.133947097586187e-05,-9.912152522957825e-06,Global_mean_delta,1,-9.346049795646771e-06,-3.077336824855082e-05,5.66102727311054e-07,True,True
46,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.4536164858616792e-05,-2.426200668229713e-05,2.7415817631966236e-07,Global_mean_delta,1,-9.607237249474398e-06,-3.414340210809119e-05,-9.88139542579406e-06,False,True
47,5C_67PER_4C_NEWSTRUCTURE,-1.9483602110306752e-05,-3.325483132507388e-05,-1.3771229214767129e-05,Global_mean_delta,1,-9.247099111241403e-06,-2.8730701221548158e-05,4.524130103525724e-06,True,True
48,5_3C_54PER_4C_NEWSTRUCTURE,-1.8396260100133e-05,-2.357035528276616e-05,-5.174095182633163e-06,Global_mean_delta,1,-9.467538445398685e-06,-2.7863798545531682e-05,-4.29344326276552e-06,True,True
49,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.7023833100160424e-05,-2.9484317939056292e-05,-1.2460484838895868e-05,Global_mean_delta,1,-9.280707941391948e-06,-2.630454104155237e-05,3.179776897503921e-06,True,True
1,3_6C-80PER_3_6C,-4.0606156694729854e-05,-7.82943969526162e-05,-3.768824025788634e-05,Policy_mean_delta,2,1.8889481567281659e-06,-3.871720853800169e-05,3.957718841461451e-05,True,False
3,3_6C-80PER_3_6C,-2.1001713251127774e-05,-1.9112765094399608e-05,1.8889481567281659e-06,Policy_mean_delta,2,-3.768824025788634e-05,-5.8689953509014116e-05,-3.957718841461451e-05,False,True
4,80PER_3_6C,-0.00018836993360228294,-0.0002073875980764402,-1.9017664474157254e-05,Policy_mean_delta,2,-1.6013909455741318e-05,-0.00020438384305802425,3.0037550184159364e-06,True,True
6,80PER_3_6C,-3.280403665257621e-05,-4.881794610831753e-05,-1.6013909455741318e-05,Policy_mean_delta,2,-1.9017664474157254e-05,-5.1821701126733464e-05,-3.0037550184159364e-06,True,True
7,4_8C_80PER_4_8C,-6.221785154494341e-05,-0.00010145647905697719,-3.923862751203378e-05,Policy_mean_delta,2,-3.7066327476992234e-05,-9.928417902193564e-05,2.1723000350415493e-06,True,True
8,4_8C_80PER_4_8C,-0.00012522388687608021,-0.00016229021435307245,-3.7066327476992234e-05,Policy_mean_delta,2,-3.923862751203378e-05,-0.000164462514388114,-2.172300035041563e-06,True,True
12,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.861206412198938e-05,-4.861610004938214e-05,-2.000403592739276e-05,Policy_mean_delta,2,-9.080452444024384e-06,-3.7692516566013764e-05,1.0923583483368376e-05,True,True
13,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.7753226406200394e-05,-4.1651519849028595e-05,-1.3898293442828201e-05,Policy_mean_delta,2,-8.508230402554058e-06,-3.626145680875445e-05,5.3900630402741465e-06,True,True
15,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.9886602846629316e-05,-5.618750127082835e-05,-1.6300898424199033e-05,Policy_mean_delta,2,-8.107796238992251e-06,-4.7994399085621566e-05,8.193102185206783e-06,True,True
17,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.4516731424334236e-05,-1.702810307235847e-05,-2.5113716480242335e-06,Policy_mean_delta,2,-6.455695004736029e-06,-2.0972426429070266e-05,-3.944323356711797e-06,True,True
18,5C_67PER_4C_NEWSTRUCTURE,-3.287205360188248e-05,-3.482360819932288e-05,-1.9515545974403958e-06,Policy_mean_delta,2,-8.380769585965763e-06,-4.125282318784824e-05,-6.429214988525364e-06,True,True
19,5_3C_54PER_4C_NEWSTRUCTURE,-1.7900953486493788e-05,-2.115135689224295e-05,-3.2504034057491615e-06,Policy_mean_delta,2,-3.072606430993463e-06,-2.097355991748725e-05,1.7779697475569955e-07,True,True
20,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.0864817735222196e-05,-3.073740461197135e-05,-9.872586876749153e-06,Policy_mean_delta,2,-4.615391197554799e-06,-2.5480208932776997e-05,5.257195679194352e-06,True,True
21,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.3507061911515033e-05,-5.035231887320699e-05,-6.845256961691955e-06,Policy_mean_delta,2,-1.1273582271641185e-05,-5.478064418315622e-05,-4.4283253099492315e-06,True,True
22,5_6C_36PER_4_3C_NEWSTRUCTURE,-1.923933691910002e-05,-2.386457349048182e-05,-4.625236571381798e-06,Policy_mean_delta,2,-1.0053739881128458e-05,-2.929307680022848e-05,-5.428503309746659e-06,True,True
23,5_6C_19PER_4_6C_NEWSTRUCTURE,-4.158579212754088e-05,-4.877220545190004e-05,-7.186413324359163e-06,Policy_mean_delta,2,-1.1216722877863316e-05,-5.2802515005404195e-05,-4.0303095535041544e-06,True,True
26,5_3C_54PER_4C_NEWSTRUCTURE,-3.33461302546711e-05,-3.344272757060075e-05,-9.65973159296489e-08,Policy_mean_delta,2,-3.598240779296715e-06,-3.6944371033967816e-05,-3.501643463367068e-06,True,True
27,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.9282661477566e-05,-4.289220242283319e-05,-1.3609540945267192e-05,Policy_mean_delta,2,-1.0146201607711978e-05,-3.942886308527797e-05,3.4633393375552176e-06,True,True
28,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.351899371624538e-05,-4.1997178296785896e-05,-8.478184580540518e-06,Policy_mean_delta,2,-9.411581879602006e-06,-4.2930575595847384e-05,-9.333972990614877e-07,True,True
29,5C_67PER_4C_NEWSTRUCTURE,-2.904893174246245e-05,-3.770510259742059e-05,-8.656170854958138e-06,Policy_mean_delta,2,-7.039846334462215e-06,-3.6088778076924665e-05,1.6163245204959243e-06,True,True
30,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.0001473357961005602,-0.000149758925799014,-2.4231296984538137e-06,Policy_mean_delta,2,8.460878800993737e-06,-0.00013887491729956645,1.0884008499447551e-05,True,False
31,5C_67PER_4C_NEWSTRUCTURE,-2.9766028864807225e-05,-4.0524055818407554e-05,-1.075802695360033e-05,Policy_mean_delta,2,-6.619475114733777e-06,-3.6385503979541e-05,4.138551838866554e-06,True,True
32,5_3C_54PER_4C_NEWSTRUCTURE,-3.0171490921104827e-05,-3.0597219838822566e-05,-4.257289177177399e-07,Policy_mean_delta,2,-3.5433855123320333e-06,-3.371487643343686e-05,-3.117656594614295e-06,True,True
33,5_6C_19PER_4_6C_NEWSTRUCTURE,-2.981422548742641e-05,-3.8825232226118233e-05,-9.011006738691825e-06,Policy_mean_delta,2,-1.0912623975474539e-05,-4.072684946290095e-05,-1.901617236782716e-06,True,True
34,5_6C_36PER_4_3C_NEWSTRUCTURE,-4.10993238709069e-05,-4.355830274667583e-05,-2.458978875768931e-06,Policy_mean_delta,2,-1.041478283039727e-05,-5.151410670130417e-05,-7.955803954628342e-06,True,True
35,3_7C_31PER_5_9C_NEWSTRUCTURE,-0.00022419552943761685,-0.00021573465063662312,8.460878800993737e-06,Policy_mean_delta,2,-2.4231296984538137e-06,-0.00022661865913607067,-1.0884008499447551e-05,False,True
36,5_3C_54PER_4C_NEWSTRUCTURE,-2.8586294851899268e-05,-3.7504827835738164e-05,-8.918532983838896e-06,Policy_mean_delta,2,-2.127918167978507e-06,-3.0714213019877777e-05,6.790614815860387e-06,True,True
37,5C_67PER_4C_NEWSTRUCTURE,-3.0664507834336774e-05,-3.408698839070397e-05,-3.4224805563671964e-06,Policy_mean_delta,2,-8.086584394180403e-06,-3.875109222851718e-05,-4.664103837813207e-06,True,True
38,5_3C_54PER_4C_NEWSTRUCTURE,-3.667602361963803e-05,-3.9072743988880866e-05,-2.396720369242836e-06,Policy_mean_delta,2,-3.2148869370778507e-06,-3.989091055671588e-05,-8.181665678350165e-07,True,True
39,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.1176454494057685e-05,-3.756211331021886e-05,-6.385658816161172e-06,Policy_mean_delta,2,-1.1350181962562981e-05,-4.252663645662067e-05,-4.964523146401811e-06,True,True
40,5_6C_36PER_4_3C_NEWSTRUCTURE,-3.833731553998993e-05,-4.761124698046617e-05,-9.27393144047624e-06,Policy_mean_delta,2,-9.278957402946053e-06,-4.7616272942935986e-05,-5.025962469815191e-09,True,True
41,4_8C_80PER_4_8C_NEWSTRUCTURE,-3.321846118159444e-05,-3.69823276612132e-05,-3.763866479618759e-06,Policy_mean_delta,2,-6.1425712968373974e-06,-3.9361032478431834e-05,-2.3787048172186368e-06,True,True
42,5C_67PER_4C_NEWSTRUCTURE,-2.129201729795827e-05,-2.6587957648094296e-05,-5.295940350136025e-06,Policy_mean_delta,2,-7.711892435426637e-06,-2.900390973338491e-05,-2.4159520852906144e-06,True,True
43,5_3C_54PER_4C_NEWSTRUCTURE,-3.1402713410865114e-05,-3.282667722746361e-05,-1.4239638165984951e-06,Policy_mean_delta,2,-3.3770130291852408e-06,-3.477972644005035e-05,-1.953049212586744e-06,True,True
44,5_6C_19PER_4_6C_NEWSTRUCTURE,-3.6032789269934575e-05,-4.7477627147909566e-05,-1.144483787797499e-05,Policy_mean_delta,2,-1.0506985452260677e-05,-4.653977472219525e-05,9.378524257143127e-07,True,True
45,5_6C_36PER_4_3C_NEWSTRUCTURE,-2.1427318452904048e-05,-3.133947097586187e-05,-9.912152522957825e-06,Policy_mean_delta,2,-9.172587222532454e-06,-3.05999056754365e-05,7.395653004253744e-07,True,True
46,4_8C_80PER_4_8C_NEWSTRUCTURE,-2.4536164858616792e-05,-2.426200668229713e-05,2.7415817631966236e-07,Policy_mean_delta,2,-7.152077460822004e-06,-3.16882423194388e-05,-7.4262356371416685e-06,False,True
47,5C_67PER_4C_NEWSTRUCTURE,-1.9483602110306752e-05,-3.325483132507388e-05,-1.3771229214767129e-05,Policy_mean_delta,2,-6.016834662500417e-06,-2.5500436772807168e-05,7.754394552266713e-06,True,True
48,5_3C_54PER_4C_NEWSTRUCTURE,-1.8396260100133e-05,-2.357035528276616e-05,-5.174095182633163e-06,Policy_mean_delta,2,-2.7519911348461295e-06,-2.1148251234979128e-05,2.4221040477870334e-06,True,True
49,4_8C_80PER_4_8C_NEWSTRUCTURE,-1.7023833100160424e-05,-2.9484317939056292e-05,-1.2460484838895868e-05,Policy_mean_delta,2,-3.968416707018121e-06,-2.0992249807178546e-05,8.492068131877746e-06,True,True
1,3_6C-80PER_3_6C,-4.0606156694729854e-05,-7.82943969526162e-05,-3.768824025788634e-05,Ridge_SOH_Policy,3,-2.4768413896236287e-06,-4.3082998084353486e-05,3.521139886826271e-05,True,True
3,3_6C-80PER_3_6C,-2.1001713251127774e-05,-1.9112765094399608e-05,1.8889481567281659e-06,Ridge_SOH_Policy,3,-2.9898399128058218e-05,-5.090011237918599e-05,-3.1787347284786383e-05,False,True
4,80PER_3_6C,-0.00018836993360228294,-0.0002073875980764402,-1.9017664474157254e-05,Ridge_SOH_Policy,3,-1.214044898124358e-05,-0.0002005103825835265,6.877215492913683e-06,True,True
6,80PER_3_6C,-3.280403665257621e-05,-4.881794610831753e-05,-1.6013909455741318e-05,Ridge_SOH_Policy,3,-1.1511704328351503e-05,-4.431574098092771e-05,4.502205127389818e-06,True,True
